LagList,Cost,Nu,Gamma,Correlacion
1,1,0.125,0.6,0.461652714513558
0.0625,2,64,0.3,0.461591165830051
0.125,1,128,0.3,0.461532287642936
0.25,1,0.25,0.4,0.461510010511009
0.125,5,64,0.6,0.461487755421993
0.125,1,8,0.3,0.461474650833773
2,1,0.125,0.5,0.461382770747751
0.0625,2,128,0.3,0.461302261376228
0.0625,2,32,0.3,0.461246407974994
0.125,6,1,0.9,0.461233090910228
0.5,1,0.5,0.2,0.4611735233645
0.25,3,1,0.6,0.461148115202026
0.5,3,0.5,0.8,0.461132759164114
0.125,2,4,0.6,0.461118723663017
0.125,6,1,1,0.461059994499359
0.125,1,4,0.4,0.461020450694094
0.0625,3,32,0.5,0.461015619983154
0.25,2,2,0.3,0.461015024153927
0.25,1,0.25,0.7,0.460929411593962
0.5,2,1,0.4,0.460915581976951
0.25,2,128,0.2,0.460857594185748
0.5,1,0.25,0.7,0.460641854648419
0.25,2,0.5,0.8,0.460575594353411
0.0625,1,256,0.3,0.460506454868153
0.5,3,0.25,0.9,0.460454452927241
0.25,3,1,0.8,0.460390206124717
0.0625,1,4096,0.3,0.460356948612863
0.5,2,4096,0.4,0.460266921839553
4,1,0.25,0.9,0.460246163390754
0.0625,2,32,0.4,0.460230352373489
0.25,1,1,0.6,0.460139779950743
0.25,1,1024,0.4,0.460098781893729
4,1,0.25,1,0.459953337559147
0.125,1,4,0.5,0.45995163686256
0.125,1,512,0.9,0.459850472875259
0.25,3,16,0.4,0.459799117500185
2,1,256,0.4,0.459784743829165
0.0625,2,16,0.3,0.459760474994996
0.25,3,1,0.7,0.459715047363039
0.125,2,1,0.8,0.459675668176406
0.0625,3,64,0.6,0.459663880765925
0.125,3,4,0.7,0.459598763294143
2,1,64,1,0.459498156867462
1,1,0.5,1,0.459389811929083
0.25,1,128,0.7,0.459389160160711
0.5,3,0.25,0.8,0.459380405639153
0.125,1,2048,0.9,0.459362088916625
0.125,3,0.5,0.8,0.459265488074973
1,1,64,0.9,0.45922401587831
0.125,3,2,0.8,0.459149387645191
2,1,64,0.9,0.459142212604988
0.0625,3,8,0.7,0.459101096809464
0.25,1,0.25,0.6,0.459083538794373
0.125,2,2,0.3,0.459060353216738
0.125,1,4096,0.2,0.459029323029675
0.0625,3,16,0.7,0.45902895604975
